run_id,date,strategy,symbol,expiration,strike_short,strike_long,gate_vix_pass,gate_liquidity_pass,gate_data_pass,gate_margin_pass,fail_reason
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-11,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-11,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-12,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-12,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-13,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-13,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-14,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-14,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-15,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-15,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-19,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-19,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-20,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-20,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-21,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-21,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-22,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-22,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-25,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-25,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-26,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-26,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-27,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-27,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-28,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-02-28,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-03-01,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-03-01,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-03-04,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-03-04,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-03-05,short_straddle,DIA,,,,False,False,False,True,missing_candidate_legs
sim_2019-02-09_2026-05-21_138e7b4fbb82,2019-03-05,put_credit_spread,DIA,,,,True,False,False,False,missing_candidate_legs
